iter	Poisson
0	-8.404649472
1	-15.6105625
2	-22.43084539
3	-34.72799884
4	-44.15953521
5	-53.0011964
6	-73.321378
7	-83.65116644
8	-102.3524838
9	-118.3717461
10	-133.6375353
11	-148.1041436
12	-161.7364793
13	-174.4256972
14	-186.6904458
15	-198.1359528
16	-208.7637021
17	-219.2146879
18	-228.6387057
19	-238.0136681
20	-246.3810463
21	-254.6325652
22	-262.4397392
23	-269.8181807
24	-276.5455584
25	-283.0659137
26	-289.0972768
27	-294.8199955
28	-300.1884589
29	-305.1912629
30	-309.8321628
31	-314.1518993
32	-318.1017348
33	-321.6258326
34	-325.1833934
35	-328.4192011
36	-331.2939473
37	-334.107043
38	-336.5975899
39	-339.0731142
40	-341.34306
41	-343.435432
42	-345.4000084
43	-347.0916069
44	-348.6738017
45	-350.1742903
46	-351.5639654
47	-352.8822687
48	-354.0207201
49	-355.1298626
50	-356.122693
51	-357.0261182
52	-357.8957884
53	-358.6899871
54	-359.4416701
55	-360.1202415
56	-360.6679208
57	-361.1605057
58	-361.6530239
59	-362.148325
60	-362.5920748
61	-363.0045949
62	-363.4109296
63	-363.7054224
64	-364.0524938
65	-364.3116824
66	-364.5751093
67	-364.8585971
68	-365.0996845
69	-365.3449322
70	-365.5435295
71	-365.7063202
72	-365.8812241
73	-366.0229242
74	-366.1984486
75	-366.3520026
76	-366.5104105
77	-366.6437249
78	-366.7511085
79	-366.8690697
80	-367.0430039
81	-367.1376717
82	-367.2056191
83	-367.2709011
84	-367.3453208
85	-367.3924205
86	-367.4772229
87	-367.555976
88	-367.6266515
89	-367.6853072
90	-367.7496184
91	-367.8415862
92	-367.9098161
93	-367.9546489
94	-368.0149457
95	-368.093632
96	-368.1786099
97	-368.2434558
98	-368.3047897
99	-368.3544452
100	-368.3836917
101	-368.4424764
102	-368.4616787
103	-368.5235067
104	-368.6093934
105	-368.6544566
106	-368.7224057
107	-368.777952
108	-368.7940107
109	-368.8384667
110	-368.8643954
111	-368.894504
112	-369.0013687
113	-369.0378044
114	-369.1245127
115	-369.1650291
116	-369.2020275
117	-369.2410942
118	-369.2959202
119	-369.3638499
120	-369.4074175
121	-369.4416184
122	-369.4690333
123	-369.5333028
124	-369.5726306
125	-369.6350081
126	-369.6461617
127	-369.6992439
128	-369.7239023
129	-369.7495485
130	-369.8299708
131	-369.853343
132	-369.9022217
133	-369.9443781
134	-369.9833207
135	-370.0658333
136	-370.0795211
137	-370.102804
138	-370.1115366
139	-370.1484723
140	-370.1911275
141	-370.2069564
142	-370.2315406
143	-370.280299
144	-370.3392291
145	-370.3612425
146	-370.3805561
147	-370.4135389
148	-370.4455529
149	-370.4974957
150	-370.5380295
151	-370.5672736
152	-370.5863667
153	-370.6149046
154	-370.6268288
155	-370.6687236
156	-370.7043712
157	-370.7373399
158	-370.7893919
159	-370.8001028
160	-370.8083906
161	-370.835422
162	-370.8447865
163	-370.8563335
164	-370.8945517
165	-370.9322627
166	-370.9554118
167	-370.9914306
168	-371.0240517
169	-371.0304969
170	-371.0484477
171	-371.0788643
172	-371.1065468
173	-371.149117
174	-371.1715058
175	-371.1945924
176	-371.2118861
177	-371.2155796
178	-371.2615016
179	-371.2900633
180	-371.3085128
181	-371.3229853
182	-371.3251362
183	-371.3382932
184	-371.342352
185	-371.3588793
186	-371.3763323
187	-371.3883352
188	-371.4177387
189	-371.4403529
190	-371.4613931
191	-371.4797987
192	-371.4980041
193	-371.5339212
194	-371.5419186
195	-371.5635447
196	-371.5717569
197	-371.5901517
198	-371.5965113
199	-371.6385069
200	-371.6611253
201	-371.6664987
202	-371.688647
203	-371.7012366
204	-371.7235897
205	-371.7439352
206	-371.7597039
207	-371.7679506
208	-371.7849417
209	-371.7876213
210	-371.8175487
211	-371.8250864
212	-371.8372518
213	-371.8396954
214	-371.8685563
215	-371.8772431
216	-371.8967602
217	-371.9048277
218	-371.9081254
219	-371.9156619
220	-371.9199425
221	-371.927385
222	-371.9303604
223	-371.9541618
224	-371.9747805
225	-371.9886303
226	-371.9893972
227	-371.9988408
228	-372.0353389
229	-372.044369
230	-372.0627675
231	-372.0689268
232	-372.0993924
233	-372.1069571
234	-372.1222601
235	-372.1446949
236	-372.1490921
237	-372.166634
238	-372.1919244
239	-372.2179952
240	-372.2217802
