iter	Passed	Remaining
0	160	64185
1	162	32330
2	163	21689
3	165	16372
4	166	13178
5	168	11042
6	169	9522
7	170	8376
8	172	7492
9	174	6791
10	175	6206
11	176	5712
12	178	5303
13	179	4953
14	181	4649
15	182	4386
16	184	4149
17	185	3938
18	187	3754
19	188	3586
20	189	3426
21	191	3287
22	193	3164
23	194	3048
24	196	2940
25	197	2839
26	198	2747
27	200	2662
28	201	2584
29	203	2509
30	205	2440
31	206	2376
32	207	2312
33	209	2251
34	210	2195
35	211	2143
36	213	2099
37	216	2059
38	217	2014
39	219	1972
40	220	1934
41	222	1895
42	224	1860
43	225	1825
44	227	1792
45	228	1759
46	230	1727
47	231	1700
48	233	1672
49	235	1645
50	236	1619
51	238	1594
52	239	1568
53	241	1545
54	242	1523
55	244	1502
56	246	1483
57	247	1460
58	249	1439
59	250	1421
60	252	1402
61	254	1385
62	255	1367
63	257	1353
64	259	1337
65	261	1322
66	262	1306
67	264	1291
68	265	1275
69	267	1260
70	268	1245
71	270	1230
72	271	1216
73	273	1203
74	274	1189
75	275	1176
76	277	1164
77	279	1152
78	280	1140
79	282	1128
80	283	1117
81	285	1106
82	286	1095
83	288	1085
84	290	1074
85	291	1065
86	293	1054
87	294	1044
88	295	1033
89	297	1024
90	299	1015
91	300	1005
92	301	996
93	303	987
94	304	979
95	306	970
96	307	961
97	309	953
98	310	945
99	312	937
100	313	928
101	315	920
102	316	912
103	317	904
104	319	897
105	320	889
106	322	881
107	323	874
108	325	868
109	326	860
110	327	853
111	329	847
112	331	840
113	332	833
114	333	827
115	335	821
116	337	815
117	338	809
118	340	803
119	341	797
120	343	792
121	345	787
122	347	782
123	349	777
124	350	771
125	352	766
126	353	760
127	355	755
128	357	750
129	359	746
130	360	740
131	362	736
132	364	731
133	365	726
134	367	721
135	369	716
136	370	711
137	372	706
138	373	701
139	375	697
140	377	693
141	379	688
142	380	684
143	382	680
144	384	676
145	386	671
146	387	667
147	389	662
148	391	658
149	392	654
150	394	650
151	395	646
152	398	642
153	399	638
154	401	634
155	403	630
156	404	626
157	406	622
158	408	618
159	409	614
160	411	610
161	413	606
162	414	603
163	416	598
164	417	594
165	419	590
166	420	586
167	421	582
168	424	579
169	425	576
170	427	572
171	429	568
172	430	565
173	432	561
174	434	558
175	435	554
176	437	551
177	439	547
178	440	544
179	442	540
180	443	537
181	445	533
182	447	530
183	448	526
184	450	523
185	451	520
186	453	516
187	454	513
188	456	509
189	457	506
190	459	502
191	461	499
192	462	495
193	464	492
194	465	489
195	466	485
196	468	482
197	469	479
198	471	476
199	473	473
200	475	471
201	478	468
202	479	465
203	481	462
204	483	459
205	484	456
206	486	453
207	488	450
208	489	447
209	491	444
210	492	441
211	494	438
212	495	435
213	497	432
214	499	429
215	500	426
216	502	423
217	503	420
218	505	417
219	506	414
220	508	411
221	510	408
222	511	406
223	513	403
224	514	400
225	516	397
226	517	394
227	519	391
228	520	388
229	521	385
230	523	382
231	524	380
232	526	377
233	527	374
234	529	371
235	531	369
236	532	366
237	534	363
238	535	360
239	536	357
240	538	355
241	540	352
242	541	349
243	543	347
244	544	344
245	546	341
246	547	339
247	549	336
248	550	333
249	551	331
250	553	328
251	554	325
252	556	323
253	557	320
254	559	318
255	560	315
256	562	312
257	563	310
258	564	307
259	566	304
260	567	302
261	569	299
262	570	297
263	572	294
264	573	292
265	575	289
266	577	287
267	578	284
268	579	282
269	581	279
270	582	277
271	583	274
272	585	272
273	586	269
274	588	267
275	589	265
276	591	262
277	592	260
278	594	257
279	595	255
280	597	253
281	598	250
282	600	248
283	602	245
284	603	243
285	605	241
286	606	238
287	608	236
288	609	234
289	610	231
290	612	229
291	613	226
292	615	224
293	616	222
294	617	219
295	619	217
296	621	215
297	622	213
298	624	210
299	625	208
300	627	206
301	628	204
302	630	201
303	631	199
304	633	197
305	634	195
306	636	192
307	637	190
308	639	188
309	640	185
310	641	183
311	643	181
312	644	179
313	645	176
314	647	174
315	648	172
316	650	170
317	651	168
318	653	165
319	654	163
320	656	161
321	657	159
322	659	157
323	660	154
324	661	152
325	663	150
326	664	148
327	666	146
328	667	144
329	669	141
330	670	139
331	672	137
332	673	135
333	674	133
334	676	131
335	677	129
336	678	126
337	680	124
338	681	122
339	683	120
340	684	118
341	686	116
342	687	114
343	689	112
344	690	110
345	692	108
346	693	105
347	694	103
348	696	101
349	697	99
350	699	97
351	700	95
352	702	93
353	703	91
354	705	89
355	706	87
356	708	85
357	709	83
358	711	81
359	712	79
360	713	77
361	715	75
362	717	73
363	718	71
364	719	69
365	721	66
366	722	64
367	724	62
368	725	60
369	727	58
370	729	56
371	730	55
372	732	53
373	734	51
374	736	49
375	737	47
376	739	45
377	741	43
378	742	41
379	744	39
380	745	37
381	747	35
382	749	33
383	750	31
384	752	29
385	753	27
386	755	25
387	756	23
388	758	21
389	759	19
390	761	17
391	762	15
392	764	13
393	765	11
394	767	9
395	768	7
396	770	5
397	771	3
398	773	1
399	774	0
