id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID000000,12.9255567,77.618665,"18th Main Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL0000,CAR,NULL,"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]","[112,104]",2023-11-20 00:28:46+00,NULL,2023-11-28 04:48:04.582978+00,FKDEV00000,FKUSR00000,9,Madiwala,TRUE,No Junction,NULL,NULL,FKN00GL0000,MAXI-CAB,approved,2023-11-30 03:08:24.818+00
FKID000001,12.9054633,77.7007781,"Sarjapura Main Road, The Grove, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0001,CAR,NULL,"[""NO PARKING""]",[113],2023-11-24 22:46:46+00,NULL,2023-11-24 23:00:24.115257+00,FKDEV00001,FKUSR00001,82,Bellandur,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000002,12.9254492,77.6185035,"Koramangala 2nd Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",FKN00GL0002,CAR,NULL,"[""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[112,107]",2023-11-20 00:27:46+00,NULL,2023-11-28 04:47:02.33776+00,FKDEV00000,FKUSR00000,9,Madiwala,TRUE,No Junction,NULL,NULL,FKN00GL0002,MAXI-CAB,approved,2023-11-30 03:08:56.998+00
FKID000003,12.956521,77.5186178,"6th Cross Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",FKN00GL0003,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-16 06:47:46+00,NULL,2023-11-18 04:46:57.216868+00,FKDEV00002,FKUSR00002,26,Byatarayanapura,TRUE,No Junction,NULL,NULL,FKN00GL0003,SCOOTER,approved,2023-11-18 23:35:12.428+00
FKID000004,12.9777667,77.5805453,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN00GL0004,TANKER,NULL,"[""NO PARKING""]",[113],2023-11-22 04:56:46+00,NULL,2023-11-28 02:44:50.46737+00,FKDEV00003,FKUSR00003,3,Upparpet,TRUE,BTP044 - Sagar Theatre Junction,NULL,NULL,FKN00GL0004,TANKER,approved,2023-11-30 03:11:32.796+00
FKID000005,12.9816772,77.6081248,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0005,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 07:04:46+00,NULL,2023-11-28 07:06:06.684969+00,FKDEV00004,FKUSR00004,16,Shivajinagar,TRUE,BTP051 - Safina Plaza Junction,NULL,NULL,FKN00GL0005,SCOOTER,approved,2023-11-30 04:32:19.24+00
FKID000006,12.9955535,77.6137265,"1st Cross Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0006,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:55:46+00,NULL,2023-11-28 07:05:56.378259+00,FKDEV00005,FKUSR00005,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0006,SCOOTER,approved,2023-11-30 04:32:20.585+00
FKID000007,12.9978696,77.5438903,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0007,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-28 06:35:46+00,NULL,2023-11-28 07:04:59.161864+00,FKDEV00006,FKUSR00006,30,Vijayanagara,TRUE,BTP205 - Modi Hospital Junction,NULL,NULL,FKN00GL0007,SCOOTER,approved,2023-11-30 04:32:49.436+00
FKID000008,12.9954021,77.6139993,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0008,PASSENGER AUTO,NULL,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,NULL,2023-11-28 07:04:24.450788+00,FKDEV00005,FKUSR00005,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0008,PASSENGER AUTO,approved,2023-11-30 04:34:24.617+00
FKID000009,12.9954054,77.6140177,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0009,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,NULL,2023-11-28 07:03:59.927111+00,FKDEV00005,FKUSR00005,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0009,SCOOTER,approved,2023-11-30 04:34:21.682+00
FKID000010,12.9760117,77.5995401,"Sri ML Subbaraju Road, Mahatma Gandhi Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0010,CAR,NULL,"[""WRONG PARKING""]",[112],2023-12-22 03:04:46+00,NULL,2023-12-22 03:09:54.679433+00,FKDEV00007,FKUSR00007,2,Cubbon Park,TRUE,No Junction,NULL,NULL,FKN00GL0010,CAR,rejected,2023-12-22 23:03:56.908+00
FKID000011,12.9977199,77.5444952,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0011,CAR,NULL,"[""WRONG PARKING""]",[112],2023-11-28 06:34:46+00,NULL,2023-11-28 07:03:47.64517+00,FKDEV00006,FKUSR00006,30,Vijayanagara,TRUE,BTP205 - Modi Hospital Junction,NULL,NULL,FKN00GL0011,CAR,approved,2023-11-30 04:34:48.021+00
FKID000012,13.0081997,77.6933216,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0012,CAR,NULL,"[""NO PARKING""]",[113],2023-11-17 19:01:46+00,NULL,2023-11-17 19:19:02.241512+00,FKDEV00008,FKUSR00008,15,K.R. Pura,TRUE,No Junction,NULL,NULL,FKN00GL0012,CAR,approved,2023-11-17 19:28:16.324+00
FKID000013,12.9815968,77.6079858,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0013,PASSENGER AUTO,NULL,"[""NO PARKING""]",[113],2023-11-28 07:01:46+00,NULL,2023-11-28 07:02:53.521097+00,FKDEV00004,FKUSR00004,16,Shivajinagar,TRUE,BTP051 - Safina Plaza Junction,NULL,NULL,FKN00GL0013,PASSENGER AUTO,approved,2023-11-30 04:35:40.148+00
FKID000014,12.9705743,77.5760169,"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",FKN00GL0014,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-12-19 03:51:46+00,NULL,2023-12-19 05:28:08.317588+00,FKDEV00009,FKUSR00009,28,City Market,FALSE,BTP043 - Upparpet Junction,NULL,NULL,NULL,NULL,NULL,NULL
