iter	Poisson
0	0.8595660372
1	0.7670371289
2	0.6770273227
3	0.6272871932
4	0.5671011838
5	0.5074467862
6	0.4497523872
7	0.4074517943
8	0.3904738102
9	0.3549875264
10	0.3501388198
11	0.3097104446
12	0.2976763469
13	0.2828505281
14	0.2497091535
15	0.2226684639
16	0.1987680624
17	0.1926708969
18	0.1707064098
19	0.1684591624
20	0.1541634917
21	0.128390773
22	0.1188460884
23	0.1056984801
24	0.09165635843
25	0.07131738766
26	0.06260916436
27	0.04465033063
28	0.04000894736
29	0.02802718367
30	0.01496363221
31	0.01007587736
32	0.0004223897286
33	-0.007878774003
34	-0.01565266548
35	-0.02367458831
36	-0.02452895307
37	-0.03070160978
38	-0.04088961414
39	-0.04841559572
40	-0.05000645521
41	-0.05514594651
42	-0.05998189208
43	-0.06593692409
44	-0.07166937656
45	-0.07745913506
46	-0.08206389346
47	-0.08816581426
48	-0.09119954156
49	-0.09445655651
50	-0.09815720271
51	-0.1024538633
52	-0.1062217919
53	-0.1084534017
54	-0.1119519743
55	-0.1153856733
56	-0.1176308571
57	-0.1195907085
58	-0.1204266512
59	-0.1230533153
60	-0.1255705916
61	-0.1272829639
62	-0.1285163728
63	-0.1317440158
64	-0.1335840192
65	-0.1360281737
66	-0.1378619412
67	-0.139547812
68	-0.1396148154
69	-0.1407386609
70	-0.1431738971
71	-0.1457833622
72	-0.1475780665
73	-0.1504843634
74	-0.1521705741
75	-0.1541788536
76	-0.1554105065
77	-0.1573411844
78	-0.1586189363
79	-0.159772197
80	-0.1606875118
81	-0.1625750124
82	-0.163483265
83	-0.1643935156
84	-0.1661154339
85	-0.1668515514
86	-0.1678993619
87	-0.1688835069
88	-0.1700784474
89	-0.1711183597
90	-0.1728072503
91	-0.1741390362
92	-0.174929537
93	-0.1762168634
94	-0.1773775753
95	-0.1779318396
96	-0.1784056741
97	-0.1792406772
98	-0.1797148631
99	-0.1800321796
100	-0.1809941063
101	-0.1819428731
102	-0.1829593441
103	-0.1842287868
104	-0.184907862
105	-0.185365014
106	-0.1861326434
107	-0.1869543747
108	-0.1876332673
109	-0.1881188542
110	-0.1885330937
111	-0.1888171551
112	-0.189171964
113	-0.1903033735
114	-0.1914730826
115	-0.1920968323
116	-0.1929302536
117	-0.1933055332
118	-0.1940303823
119	-0.1947870406
120	-0.1951951377
121	-0.1957430794
122	-0.1962504532
123	-0.1969243384
124	-0.196955297
125	-0.197389233
126	-0.1979301524
127	-0.1983868184
128	-0.1987473293
129	-0.199251698
130	-0.1996357809
131	-0.2002843348
132	-0.2006356101
133	-0.2011700727
